model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhone17 Pro,"iPhone17 Pro 256GB 未開封 188,000円",,,,,2026-02-23 01:40:14.045182+00:00
iPhone17 Pro,"iPhone17 Pro 512GB 未開封 214,500円",,,,,2026-02-23 01:40:14.045785+00:00
iPhone17 Pro,"iPhone17 Pro 1TB 未開封 241,000円",,,,,2026-02-23 01:40:14.046271+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 256GB 色減額：オレンジ-5000円・ブルー-3000円(未開封) / オレンジ-4000円、ブルー2000円(開封済) 未開封 208,000円",色減額：オレンジ-5000円・ブルー-3000円(未開封) / オレンジ-4000円、ブルー2000円(開封済),,,,2026-02-23 01:40:14.048294+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 512GB 色減額：オレンジ-5000円(未開封)/オレンジ-2000円(開封済) 未開封 238,000円",色減額：オレンジ-5000円(未開封)/オレンジ-2000円(開封済),,,,2026-02-23 01:40:14.049229+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 1TB 未開封 264,000円",,,,,2026-02-23 01:40:14.050110+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 2TB 未開封 300,000円",,,,,2026-02-23 01:40:14.050996+00:00
iPhone17,"iPhone17 256GB 未開封 122,000円",,,,,2026-02-23 01:40:14.052457+00:00
iPhone17,"iPhone17 512GB 未開封 150,000円",,,,,2026-02-23 01:40:14.053422+00:00
iPhoneAir,"iPhoneAir 256GB 色減額：ブルー-2000円(未開封) 未開封 130,000円",色減額：ブルー-2000円(未開封),,,,2026-02-23 01:40:14.055046+00:00
iPhoneAir,"iPhoneAir 512GB 未開封 146,000円",,,,,2026-02-23 01:40:14.055823+00:00
iPhoneAir,"iPhoneAir 1TB 未開封 156,000円",,,,,2026-02-23 01:40:14.056611+00:00
iPhone16 Pro,"iPhone16 Pro 128GB 未開封 153,500円",,,,,2026-02-23 01:40:14.058399+00:00
iPhone16 Pro,"iPhone16 Pro 256GB 未開封 173,000円",,,,,2026-02-23 01:40:14.059237+00:00
iPhone16 Pro,"iPhone16 Pro 512GB 未開封 197,000円",,,,,2026-02-23 01:40:14.059901+00:00
iPhone16 Pro,"iPhone16 Pro 1TB 未開封 214,000円",,,,,2026-02-23 01:40:14.060457+00:00
iPhone16 Pro Max,"iPhone16 Pro Max 256GB 未開封 183,000円",,,,,2026-02-23 01:40:14.061712+00:00
iPhone16 Pro Max,"iPhone16 Pro Max 512GB 未開封 209,000円",,,,,2026-02-23 01:40:14.062563+00:00
iPhone16 Pro Max,"iPhone16 Pro Max 1TB 未開封 238,000円",,,,,2026-02-23 01:40:14.063474+00:00
