model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhone17 Pro,iPhone17 Pro 256GB,,,未開封買取価格,"178,000円",2025-12-02 13:07:47.793507+00:00
iPhone17 Pro,iPhone17 Pro 512GB,,,未開封買取価格,"209,500円",2025-12-02 13:07:47.793631+00:00
iPhone17 Pro,iPhone17 Pro 1TB,,,未開封買取価格,"242,000円",2025-12-02 13:07:47.793729+00:00
iPhone17 Pro Max,iPhone17 Pro Max 256GB,,,未開封買取価格,"192,500円",2025-12-02 13:07:47.793963+00:00
iPhone17 Pro Max,iPhone17 Pro Max 512GB,,,未開封買取価格,"227,000円",2025-12-02 13:07:47.794055+00:00
iPhone17 Pro Max,iPhone17 Pro Max 1TB,,,未開封買取価格,"261,000円",2025-12-02 13:07:47.794149+00:00
iPhone17 Pro Max,iPhone17 Pro Max 2TB,,,未開封買取価格,"315,000円",2025-12-02 13:07:47.794242+00:00
iPhone17,iPhone17 256GB,,,未開封買取価格,"129,000円",2025-12-02 13:07:47.794424+00:00
iPhone17,iPhone17 512GB,,,未開封買取価格,"160,000円",2025-12-02 13:07:47.794517+00:00
iPhoneAir,iPhoneAir 256GB,"ブルー・ゴールド： -2,000円(未開封)",,未開封買取価格,"139,000円",2025-12-02 13:07:47.794721+00:00
iPhoneAir,iPhoneAir 512GB,"ブルー・ブラック： -2,000円(未開封)",,未開封買取価格,"150,000円",2025-12-02 13:07:47.794816+00:00
iPhoneAir,iPhoneAir 1TB,"ブルー・ブラック： -2,000円(未開封)",,未開封買取価格,"154,000円",2025-12-02 13:07:47.794913+00:00
iPhone16 Pro,iPhone16 Pro 128GB,,,未開封買取価格,"149,500円",2025-12-02 13:07:47.795148+00:00
iPhone16 Pro,iPhone16 Pro 256GB,,,未開封買取価格,"172,500円",2025-12-02 13:07:47.795239+00:00
iPhone16 Pro,iPhone16 Pro 512GB,,,未開封買取価格,"198,000円",2025-12-02 13:07:47.795332+00:00
iPhone16 Pro,iPhone16 Pro 1TB,,,未開封買取価格,"215,000円",2025-12-02 13:07:47.795430+00:00
iPhone16 Pro Max,iPhone16 Pro Max 256GB,,,未開封買取価格,"181,500円",2025-12-02 13:07:47.795634+00:00
iPhone16 Pro Max,iPhone16 Pro Max 512GB,,,未開封買取価格,"209,000円",2025-12-02 13:07:47.795725+00:00
iPhone16 Pro Max,iPhone16 Pro Max 1TB,,,未開封買取価格,"238,000円",2025-12-02 13:07:47.795815+00:00
iPhone16,iPhone16 128GB,,,未開封買取価格,"94,000円",2025-12-02 13:07:47.796017+00:00
iPhone16,iPhone16 256GB,,,未開封買取価格,"110,500円",2025-12-02 13:07:47.796107+00:00
iPhone16,iPhone16 512GB,,,未開封買取価格,"117,500円",2025-12-02 13:07:47.796197+00:00
iPhone16 Plus,iPhone16 Plus 128GB,,,未開封買取価格,"105,000円",2025-12-02 13:07:47.796399+00:00
iPhone16 Plus,iPhone16 Plus 256GB,,,未開封買取価格,"119,000円",2025-12-02 13:07:47.796489+00:00
iPhone16 Plus,iPhone16 Plus 512GB,,,未開封買取価格,"125,000円",2025-12-02 13:07:47.796579+00:00
iPhone16e,iPhone16e 128GB,,,未開封買取価格,"71,000円",2025-12-02 13:07:47.796782+00:00
iPhone16e,iPhone16e 256GB,,,未開封買取価格,"83,000円",2025-12-02 13:07:47.796874+00:00
iPhone16e,iPhone16e 512GB,,,未開封買取価格,"94,000円",2025-12-02 13:07:47.796964+00:00
iPhone15 Pro,iPhone15 Pro 128GB,,,未開封買取価格,"126,000円",2025-12-02 13:07:47.797192+00:00
iPhone15 Pro,iPhone15 Pro 256GB,,,未開封買取価格,"136,000円",2025-12-02 13:07:47.797283+00:00
iPhone15 Pro,iPhone15 Pro 512GB,,,未開封買取価格,"146,000円",2025-12-02 13:07:47.797375+00:00
iPhone15 Pro,iPhone15 Pro 1TB,,,未開封買取価格,"156,000円",2025-12-02 13:07:47.797465+00:00
iPhone15 Pro Max,iPhone15 Pro Max 256GB,,,未開封買取価格,"151,000円",2025-12-02 13:07:47.797669+00:00
iPhone15 Pro Max,iPhone15 Pro Max 512GB,,,未開封買取価格,"163,000円",2025-12-02 13:07:47.797760+00:00
iPhone15 Pro Max,iPhone15 Pro Max 1TB,,,未開封買取価格,"170,000円",2025-12-02 13:07:47.797850+00:00
iPhone15,iPhone15 128GB,,,未開封買取価格,"81,000円",2025-12-02 13:07:47.798052+00:00
iPhone15,iPhone15 256GB,,,未開封買取価格,"90,000円",2025-12-02 13:07:47.798141+00:00
iPhone15,iPhone15 512GB,,,未開封買取価格,"98,000円",2025-12-02 13:07:47.798230+00:00
iPhone15 Plus,iPhone15 Plus 128GB,,,未開封買取価格,"94,000円",2025-12-02 13:07:47.798430+00:00
iPhone15 Plus,iPhone15 Plus 256GB,,,未開封買取価格,"104,000円",2025-12-02 13:07:47.798519+00:00
iPhone15 Plus,iPhone15 Plus 512GB,,,未開封買取価格,"110,000円",2025-12-02 13:07:47.798608+00:00
iPhone14 Pro,iPhone14 Pro 128GB,,,未開封買取価格,"69,000円",2025-12-02 13:07:47.798835+00:00
iPhone14 Pro,iPhone14 Pro 256GB,,,未開封買取価格,"76,000円",2025-12-02 13:07:47.798927+00:00
iPhone14 Pro,iPhone14 Pro 512GB,,,未開封買取価格,"78,000円",2025-12-02 13:07:47.799017+00:00
iPhone14 Pro,iPhone14 Pro 1TB,,,未開封買取価格,"82,000円",2025-12-02 13:07:47.799108+00:00
iPhone14 Pro Max,iPhone14 Pro Max 128GB,,,未開封買取価格,"82,000円",2025-12-02 13:07:47.799334+00:00
iPhone14 Pro Max,iPhone14 Pro Max 256GB,,,未開封買取価格,"87,000円",2025-12-02 13:07:47.799433+00:00
iPhone14 Pro Max,iPhone14 Pro Max 512GB,,,未開封買取価格,"92,000円",2025-12-02 13:07:47.799521+00:00
iPhone14 Pro Max,iPhone14 Pro Max 1TB,,,未開封買取価格,"94,000円",2025-12-02 13:07:47.799609+00:00
iPhone14,iPhone14 128GB,"イエロー、レッド：-2,000円(未開封)",,未開封買取価格,"68,000円",2025-12-02 13:07:47.799809+00:00
iPhone14,iPhone14 256GB,,,未開封買取価格,"75,000円",2025-12-02 13:07:47.799900+00:00
iPhone14,iPhone14 512GB,,,未開封買取価格,"79,000円",2025-12-02 13:07:47.799991+00:00
iPhone14 Plus,iPhone14 Plus 128GB,,,未開封買取価格,"56,000円",2025-12-02 13:07:47.800190+00:00
iPhone14 Plus,iPhone14 Plus 256GB,,,未開封買取価格,"60,000円",2025-12-02 13:07:47.800278+00:00
iPhone14 Plus,iPhone14 Plus 512GB,,,未開封買取価格,"62,000円",2025-12-02 13:07:47.800367+00:00
iPhoneSE3,iPhoneSE3 64GB,,,未開封買取価格,"45,000円",2025-12-02 13:07:47.800565+00:00
iPhoneSE3,iPhoneSE3 128GB,,,未開封買取価格,"47,000円",2025-12-02 13:07:47.800652+00:00
iPhoneSE3,iPhoneSE3 256GB,,,未開封買取価格,"51,000円",2025-12-02 13:07:47.800739+00:00
iPhone13 Pro Max,iPhone13 Pro Max 128GB,,,未開封買取価格,"61,000円",2025-12-02 13:07:47.800962+00:00
iPhone13 Pro Max,iPhone13 Pro Max 256GB,,,未開封買取価格,"66,000円",2025-12-02 13:07:47.801052+00:00
iPhone13 Pro Max,iPhone13 Pro Max 512GB,,,未開封買取価格,"71,000円",2025-12-02 13:07:47.801141+00:00
iPhone13 Pro Max,iPhone13 Pro Max 1TB,,,未開封買取価格,"75,000円",2025-12-02 13:07:47.801228+00:00
iPhone13 Pro,iPhone13 Pro 128GB,,,未開封買取価格,"51,500円",2025-12-02 13:07:47.801449+00:00
iPhone13 Pro,iPhone13 Pro 256GB,,,未開封買取価格,"58,000円",2025-12-02 13:07:47.801537+00:00
iPhone13 Pro,iPhone13 Pro 512GB,,,未開封買取価格,"61,000円",2025-12-02 13:07:47.801627+00:00
iPhone13 Pro,iPhone13 Pro 1TB,,,未開封買取価格,"64,000円",2025-12-02 13:07:47.801715+00:00
iPhone13 mini,iPhone13 mini 128GB,,,未開封買取価格,"33,000円",2025-12-02 13:07:47.801913+00:00
iPhone13 mini,iPhone13 mini 256GB,,,未開封買取価格,"42,000円",2025-12-02 13:07:47.802001+00:00
iPhone13 mini,iPhone13 mini 512GB,,,未開封買取価格,"47,000円",2025-12-02 13:07:47.802091+00:00
iPhone13,iPhone13 128GB,,,未開封買取価格,"40,500円",2025-12-02 13:07:47.802289+00:00
iPhone13,iPhone13 256GB,,,未開封買取価格,"43,500円",2025-12-02 13:07:47.802379+00:00
iPhone13,iPhone13 512GB,,,未開封買取価格,"45,500円",2025-12-02 13:07:47.802473+00:00
iPhone12 mini,iPhone12 mini 64GB,,,未開封買取価格,"19,500円",2025-12-02 13:07:47.802673+00:00
iPhone12 mini,iPhone12 mini 128GB,,,未開封買取価格,"21,500円",2025-12-02 13:07:47.802762+00:00
iPhone12 mini,iPhone12 mini 256GB,,,未開封買取価格,"25,500円",2025-12-02 13:07:47.802850+00:00
iPhone12,iPhone12 64GB,,,未開封買取価格,"27,000円",2025-12-02 13:07:47.803049+00:00
iPhone12,iPhone12 128GB,,,未開封買取価格,"31,000円",2025-12-02 13:07:47.803138+00:00
iPhone12,iPhone12 256GB,,,未開封買取価格,"33,000円",2025-12-02 13:07:47.803227+00:00
iPhone12 Pro,iPhone12 Pro 128GB,,,未開封買取価格,"35,000円",2025-12-02 13:07:47.803424+00:00
iPhone12 Pro,iPhone12 Pro 256GB,,,未開封買取価格,"38,000円",2025-12-02 13:07:47.803513+00:00
iPhone12 Pro,iPhone12 Pro 512GB,,,未開封買取価格,"39,000円",2025-12-02 13:07:47.803601+00:00
