part_number,model_name,capacity_gb,color,release_date,jan,shop2,shop3,shop4,shop5
MG674J/A,iPhone 17,256,ブラック,2025-09-19,4549995649154,,,,
MG684J/A,iPhone 17,256,ホワイト,2025-09-19,4549995649161,,,,
MG694J/A,iPhone 17,256,ミストブルー,2025-09-19,4549995649178,,,,
MG6A4J/A,iPhone 17,256,ラベンダー,2025-09-19,4549995649185,,,,
MG6C4J/A,iPhone 17,256,セージ,2025-09-19,4549995649192,,,,
MG6D4J/A,iPhone 17,512,ブラック,2025-09-19,4549995649208,,,,
MG6E4J/A,iPhone 17,512,ホワイト,2025-09-19,4549995649215,,,,
MG6F4J/A,iPhone 17,512,ミストブルー,2025-09-19,4549995649222,,,,
MG6G4J/A,iPhone 17,512,ラベンダー,2025-09-19,4549995649239,,,,
MG6H4J/A,iPhone 17,512,セージ,2025-09-19,4549995649246,,,,
MG854J/A,iPhone 17 Pro,256,シルバー,2025-09-19,4549995648294,,,,
MG864J/A,iPhone 17 Pro,256,コズミックオレンジ,2025-09-19,4549995648300,,,,
MG874J/A,iPhone 17 Pro,256,ディープブルー,2025-09-19,4549995648317,,,,
MG894J/A,iPhone 17 Pro,512,シルバー,2025-09-19,4549995648324,,,,
MG8A4J/A,iPhone 17 Pro,512,コズミックオレンジ,2025-09-19,4549995648331,,,,
MG8C4J/A,iPhone 17 Pro,512,ディープブルー,2025-09-19,4549995648348,,,,
MG8D4J/A,iPhone 17 Pro,1024,シルバー,2025-09-19,4549995648355,,,,
MG8E4J/A,iPhone 17 Pro,1024,コズミックオレンジ,2025-09-19,4549995648362,,,,
MG8F4J/A,iPhone 17 Pro,1024,ディープブルー,2025-09-19,4549995648379,,,,
MFY84J/A,iPhone 17 Pro Max,256,シルバー,2025-09-19,4549995649284,,,,
MFY94J/A,iPhone 17 Pro Max,256,コズミックオレンジ,2025-09-19,4549995649291,,,,
MFYA4J/A,iPhone 17 Pro Max,256,ディープブルー,2025-09-19,4549995649307,,,,
MFYC4J/A,iPhone 17 Pro Max,512,シルバー,2025-09-19,4549995649314,,,,
MFYD4J/A,iPhone 17 Pro Max,512,コズミックオレンジ,2025-09-19,4549995649321,,,,
MFYE4J/A,iPhone 17 Pro Max,512,ディープブルー,2025-09-19,4549995649338,,,,
MFYF4J/A,iPhone 17 Pro Max,1024,シルバー,2025-09-19,4549995649345,,,,
MFYG4J/A,iPhone 17 Pro Max,1024,コズミックオレンジ,2025-09-19,4549995649352,,,,
MFYH4J/A,iPhone 17 Pro Max,1024,ディープブルー,2025-09-19,4549995649369,,,,
MFYJ4J/A,iPhone 17 Pro Max,2048,シルバー,2025-09-19,4549995649376,,,,
MFYK4J/A,iPhone 17 Pro Max,2048,コズミックオレンジ,2025-09-19,4549995649383,,,,
MFYL4J/A,iPhone 17 Pro Max,2048,ディープブルー,2025-09-19,4549995649390,,,,
MG274J/A,iPhone Air,256,スペースブラック,2025-09-19,4549995647501,,,,
MG284J/A,iPhone Air,256,クラウドホワイト,2025-09-19,4549995647518,,,,
MG294J/A,iPhone Air,256,ライトゴールド,2025-09-19,4549995647525,,,,
MG2A4J/A,iPhone Air,256,スカイブルー,2025-09-19,4549995647532,,,,
MG2C4J/A,iPhone Air,512,スペースブラック,2025-09-19,4549995647549,,,,
MG2D4J/A,iPhone Air,512,クラウドホワイト,2025-09-19,4549995647556,,,,
MG2E4J/A,iPhone Air,512,ライトゴールド,2025-09-19,4549995647563,,,,
MG2F4J/A,iPhone Air,512,スカイブルー,2025-09-19,4549995647570,,,,
MG2G4J/A,iPhone Air,1024,スペースブラック,2025-09-19,4549995647587,,,,
MG2H4J/A,iPhone Air,1024,クラウドホワイト,2025-09-19,4549995647594,,,,
MG2J4J/A,iPhone Air,1024,ライトゴールド,2025-09-19,4549995647600,,,,
MG2K4J/A,iPhone Air,1024,スカイブルー,2025-09-19,4549995647617,,,,
